Source,Target,Weight
俞聪,孙芳芳,1
俞聪,姚婧,1
孙芳芳,姚婧,1
钱高法,钱国耀,1
钱高法,钱国年,1
钱国耀,钱国年,1
谢炳銮,李惠强,1
谢炳銮,陈俊岭,1
谢炳銮,刘艳辉,1
谢炳銮,申金冬,1
李惠强,陈俊岭,1
李惠强,刘艳辉,1
李惠强,申金冬,1
陈俊岭,刘艳辉,1
陈俊岭,申金冬,1
刘艳辉,申金冬,1
谭建荣,刘赛花,1
谭建荣,王文隽,1
刘赛花,王文隽,1
顾益明,朱彩珍,1
顾益明,顾龙棣,1
顾益明,王秋林,1
顾益明,鲁崇明,1
顾益明,李连宝,1
朱彩珍,顾龙棣,1
朱彩珍,王秋林,1
朱彩珍,鲁崇明,1
朱彩珍,李连宝,1
顾龙棣,王秋林,1
顾龙棣,鲁崇明,1
顾龙棣,李连宝,1
王秋林,鲁崇明,1
王秋林,李连宝,1
鲁崇明,李连宝,1
朱明虬,吴红心,1
朱明虬,余欢,1
朱明虬,马希骅,1
朱明虬,张子钢,1
朱明虬,徐建刚,1
吴红心,余欢,1
吴红心,马希骅,1
吴红心,张子钢,1
吴红心,徐建刚,1
余欢,马希骅,1
余欢,张子钢,1
余欢,徐建刚,1
马希骅,张子钢,1
马希骅,徐建刚,1
张子钢,徐建刚,1
赖翼双,仇菲,1
赖翼双,潘根富,1
赖翼双,李胜男,1
赖翼双,仇建平,1
赖翼双,周绿云,1
赖翼双,孙瑞清,1
赖翼双,叶青,1
赖翼双,金顺清,1
仇菲,潘根富,1
仇菲,李胜男,1
仇菲,仇建平,1
仇菲,周绿云,1
仇菲,孙瑞清,1
仇菲,叶青,1
仇菲,金顺清,1
潘根富,李胜男,1
潘根富,仇建平,1
潘根富,周绿云,1
潘根富,孙瑞清,1
潘根富,叶青,1
潘根富,金顺清,1
李胜男,仇建平,1
李胜男,周绿云,1
李胜男,孙瑞清,1
李胜男,叶青,1
李胜男,金顺清,1
仇建平,周绿云,1
仇建平,孙瑞清,1
仇建平,叶青,1
仇建平,金顺清,1
周绿云,孙瑞清,1
周绿云,叶青,1
周绿云,金顺清,1
孙瑞清,叶青,1
孙瑞清,金顺清,1
叶青,金顺清,1
韩春雷,王翔宇,1
韩春雷,朱晓静,1
王翔宇,朱晓静,1
霍孝谦,陈巧玲,1
刘晓东,柳海彬,1
刘晓东,刘晓俊,1
刘晓东,喻晓春,1
刘晓东,杨洪,1
刘晓东,寇光智,1
刘晓东,马晓华,1
柳海彬,刘晓俊,1
柳海彬,喻晓春,1
柳海彬,杨洪,1
柳海彬,寇光智,1
柳海彬,马晓华,1
刘晓俊,喻晓春,1
刘晓俊,杨洪,1
刘晓俊,寇光智,1
刘晓俊,马晓华,1
喻晓春,杨洪,1
喻晓春,寇光智,1
喻晓春,马晓华,1
杨洪,寇光智,1
杨洪,马晓华,1
寇光智,马晓华,1
张华伟,谈意道,1
张华伟,安洪刚,1
张华伟,孙庚更,1
张华伟,侯钦源,1
张华伟,成建铃,1
谈意道,安洪刚,1
谈意道,孙庚更,1
谈意道,侯钦源,1
谈意道,成建铃,1
安洪刚,孙庚更,1
安洪刚,侯钦源,1
安洪刚,成建铃,1
孙庚更,侯钦源,1
孙庚更,成建铃,1
侯钦源,成建铃,1
郑文平,蒋仕波,1
张磊,郭柏峰,1
张磊,李晓楠,1
郭柏峰,李晓楠,1
刘普杰,竺韵德,1
吴丽珠,吴子文,1
吴丽珠,吴伟洋,1
吴丽珠,吴志良,1
吴丽珠,康月凤,1
吴丽珠,吴金生,1
吴丽珠,吴明玉,1
吴丽珠,袁东红,1
吴丽珠,毛诚忠,1
吴丽珠,李建勋,1
吴子文,吴伟洋,1
吴子文,吴志良,1
吴子文,康月凤,1
吴子文,吴金生,1
吴子文,吴明玉,1
吴子文,袁东红,1
吴子文,毛诚忠,1
吴子文,李建勋,1
吴伟洋,吴志良,1
吴伟洋,康月凤,1
吴伟洋,吴金生,1
吴伟洋,吴明玉,1
吴伟洋,袁东红,1
吴伟洋,毛诚忠,1
吴伟洋,李建勋,1
吴志良,康月凤,1
吴志良,吴金生,1
吴志良,吴明玉,1
吴志良,袁东红,1
吴志良,毛诚忠,1
吴志良,李建勋,1
康月凤,吴金生,1
康月凤,吴明玉,1
康月凤,袁东红,1
康月凤,毛诚忠,1
康月凤,李建勋,1
吴金生,吴明玉,1
吴金生,袁东红,1
吴金生,毛诚忠,1
吴金生,李建勋,1
吴明玉,袁东红,1
吴明玉,毛诚忠,1
吴明玉,李建勋,1
袁东红,毛诚忠,1
袁东红,李建勋,1
毛诚忠,李建勋,1
夏琼,李心,1
夏琼,夏信根,1
夏琼,李磊,1
夏琼,阎宝国,1
夏琼,樊琳,1
夏琼,刘志学,1
夏琼,陈爽,1
夏琼,陆贵新,1
李心,夏信根,1
李心,李磊,1
李心,阎宝国,1
李心,樊琳,1
李心,刘志学,1
李心,陈爽,1
李心,陆贵新,1
夏信根,李磊,1
夏信根,阎宝国,1
夏信根,樊琳,1
夏信根,刘志学,1
夏信根,陈爽,1
夏信根,陆贵新,1
李磊,阎宝国,1
李磊,樊琳,1
李磊,刘志学,1
李磊,陈爽,1
李磊,陆贵新,1
阎宝国,樊琳,1
阎宝国,刘志学,1
阎宝国,陈爽,1
阎宝国,陆贵新,1
樊琳,刘志学,1
樊琳,陈爽,1
樊琳,陆贵新,1
刘志学,陈爽,1
刘志学,陆贵新,1
陈爽,陆贵新,1
卢妙翠,唐建柏,1
卢妙翠,杨雪梅,1
卢妙翠,张寿清,1
卢妙翠,胡云辉,1
卢妙翠,胡海燕,1
卢妙翠,杨继耘,1
唐建柏,杨雪梅,1
唐建柏,张寿清,1
唐建柏,胡云辉,1
唐建柏,胡海燕,1
唐建柏,杨继耘,1
杨雪梅,张寿清,1
杨雪梅,胡云辉,1
杨雪梅,胡海燕,1
杨雪梅,杨继耘,1
张寿清,胡云辉,1
张寿清,胡海燕,1
张寿清,杨继耘,1
胡云辉,胡海燕,1
胡云辉,杨继耘,1
胡海燕,杨继耘,1
阮水龙,阮伟祥,1
阮水龙,项志峰,1
阮水龙,潘小成,1
阮水龙,阮兴祥,1
阮水龙,阮伟兴,1
阮伟祥,项志峰,1
阮伟祥,潘小成,1
阮伟祥,阮兴祥,1
阮伟祥,阮伟兴,1
项志峰,潘小成,1
项志峰,阮兴祥,1
项志峰,阮伟兴,1
潘小成,阮兴祥,1
潘小成,阮伟兴,1
阮兴祥,阮伟兴,1
钱金波,金银宽,1
钱金波,钱秀芬,1
钱金波,陈铭海,1
钱金波,钱金云,1
钱金波,夏赛侠,1
钱金波,郑军,1
钱金波,陈满仓,1
钱金波,汪建斌,1
金银宽,钱秀芬,1
金银宽,陈铭海,1
金银宽,钱金云,1
金银宽,夏赛侠,1
金银宽,郑军,1
金银宽,陈满仓,1
金银宽,汪建斌,1
钱秀芬,陈铭海,1
钱秀芬,钱金云,1
钱秀芬,夏赛侠,1
钱秀芬,郑军,1
钱秀芬,陈满仓,1
钱秀芬,汪建斌,1
陈铭海,钱金云,1
陈铭海,夏赛侠,1
陈铭海,郑军,1
陈铭海,陈满仓,1
陈铭海,汪建斌,1
钱金云,夏赛侠,1
钱金云,郑军,1
钱金云,陈满仓,1
钱金云,汪建斌,1
夏赛侠,郑军,1
夏赛侠,陈满仓,1
夏赛侠,汪建斌,1
郑军,陈满仓,1
郑军,汪建斌,1
陈满仓,汪建斌,1
刘江,徐志新,1
刘江,李金钟,1
刘江,王永军,1
刘江,王曦,1
刘江,王鹏,1
刘江,王婷婷,1
徐志新,李金钟,1
徐志新,王永军,1
徐志新,王曦,1
