Source,Target,Weight
荆州招商慧泽医药投资合伙企业(有限合伙),韩旭,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划5号资产管理计划,韩旭,1
汇添富基金-工商银行-汇添富-优势医药企业定增计划4号资产管理计划,韩旭,1
韩旭,长城国融投资管理有限公司,1
韩旭,TB NATURE LIMITED,1
韩旭,烟台悦信投资中心(有限合伙),1
新疆冠农集团有限责任公司,俞聪,1
新疆冠农集团有限责任公司,孙芳芳,1
新疆冠农集团有限责任公司,姚婧,1
铁门关市金汇源资产管理有限公司,俞聪,1
铁门关市金汇源资产管理有限公司,孙芳芳,1
铁门关市金汇源资产管理有限公司,姚婧,1
新疆绿原鑫融贸易有限公司,俞聪,1
新疆绿原鑫融贸易有限公司,孙芳芳,1
新疆绿原鑫融贸易有限公司,姚婧,1
北京鼎盛新元环保装饰技术开发有限公司,俞聪,1
北京鼎盛新元环保装饰技术开发有限公司,孙芳芳,1
北京鼎盛新元环保装饰技术开发有限公司,姚婧,1
俞聪,深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,1
深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,孙芳芳,1
深圳抱朴容易资产管理有限公司-抱朴容易3号私募证券投资基金,姚婧,1
宁波高发控股有限公司,钱高法,1
宁波高发控股有限公司,钱国耀,1
宁波高发控股有限公司,钱国年,1
长城国融投资管理有限公司,钱高法,1
长城国融投资管理有限公司,钱国耀,1
长城国融投资管理有限公司,钱国年,1
钱高法,深圳远致富海七号投资企业(有限合伙),1
钱高法,建信基金-杭州银行-浙江浙商转型升级母基金合伙企业(有限合伙),1
钱国耀,深圳远致富海七号投资企业(有限合伙),1
钱国耀,建信基金-杭州银行-浙江浙商转型升级母基金合伙企业(有限合伙),1
钱国年,深圳远致富海七号投资企业(有限合伙),1
钱国年,建信基金-杭州银行-浙江浙商转型升级母基金合伙企业(有限合伙),1
谢炳銮,兴业国际信托有限公司-兴业信托·比音勒芬1号员工持股集合资金信托计划,1
谢炳銮,广东通盈创业投资有限公司,1
谢炳銮,渤海国际信托股份有限公司-渤海信托·樟美3号证券投资单一资金信托,1
李惠强,兴业国际信托有限公司-兴业信托·比音勒芬1号员工持股集合资金信托计划,1
李惠强,广东通盈创业投资有限公司,1
李惠强,渤海国际信托股份有限公司-渤海信托·樟美3号证券投资单一资金信托,1
陈俊岭,兴业国际信托有限公司-兴业信托·比音勒芬1号员工持股集合资金信托计划,1
陈俊岭,广东通盈创业投资有限公司,1
陈俊岭,渤海国际信托股份有限公司-渤海信托·樟美3号证券投资单一资金信托,1
兴业国际信托有限公司-兴业信托·比音勒芬1号员工持股集合资金信托计划,刘艳辉,1
兴业国际信托有限公司-兴业信托·比音勒芬1号员工持股集合资金信托计划,申金冬,1
广东通盈创业投资有限公司,刘艳辉,1
广东通盈创业投资有限公司,申金冬,1
刘艳辉,渤海国际信托股份有限公司-渤海信托·樟美3号证券投资单一资金信托,1
渤海国际信托股份有限公司-渤海信托·樟美3号证券投资单一资金信托,申金冬,1
黄山永佳投资有限公司,王建祥,1
奥瑞金科技股份有限公司,王建祥,1
上海原龙投资控股(集团)有限公司,王建祥,1
美佳粉末涂料有限公司,王建祥,1
永邦中国投资有限公司,王建祥,1
大永真空科技股份有限公司,王建祥,1
北京奥瑞金包装容器有限公司,王建祥,1
王建祥,交通银行股份有限公司-长信量化先锋混合型证券投资基金,1
西藏华西药业集团有限公司,葛卫东,1
西藏康哲企业管理有限公司,葛卫东,1
北京新凤凰城房地产开发有限公司,葛卫东,1
深圳市康哲药业有限公司,葛卫东,1
葛卫东,天津康哲医药科技发展有限公司,1
葛卫东,中泰证券股份有限公司,1
葛卫东,西藏源江创业投资合伙企业(有限合伙),1
葛卫东,西藏自治区生产力促进中心,1
辽渔集团有限公司,谭建荣,1
辽渔集团有限公司,刘赛花,1
辽渔集团有限公司,王文隽,1
山东高速集团有限公司,谭建荣,1
山东高速集团有限公司,刘赛花,1
山东高速集团有限公司,王文隽,1
长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,谭建荣,1
长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,刘赛花,1
长江养老保险股份有限公司-长江养老企业员工持股专项集合型团体养老保障管理产品-渤海轮渡,王文隽,1
兴业证券股份有限公司,谭建荣,1
兴业证券股份有限公司,刘赛花,1
兴业证券股份有限公司,王文隽,1
苏州柯利达集团有限公司,顾益明,1
苏州柯利达集团有限公司,朱彩珍,1
苏州柯利达集团有限公司,顾龙棣,1
苏州柯利达集团有限公司,王秋林,1
苏州柯利达集团有限公司,鲁崇明,1
苏州柯利达集团有限公司,李连宝,1
顾益明,苏州弘普投资管理中心(有限合伙),1
顾益明,兴业国际信托有限公司-兴安8号集合资金信托,1
顾益明,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
朱彩珍,苏州弘普投资管理中心(有限合伙),1
朱彩珍,兴业国际信托有限公司-兴安8号集合资金信托,1
朱彩珍,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
顾龙棣,苏州弘普投资管理中心(有限合伙),1
顾龙棣,兴业国际信托有限公司-兴安8号集合资金信托,1
顾龙棣,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
苏州弘普投资管理中心(有限合伙),王秋林,1
苏州弘普投资管理中心(有限合伙),鲁崇明,1
苏州弘普投资管理中心(有限合伙),李连宝,1
兴业国际信托有限公司-兴安8号集合资金信托,王秋林,1
兴业国际信托有限公司-兴安8号集合资金信托,鲁崇明,1
兴业国际信托有限公司-兴安8号集合资金信托,李连宝,1
王秋林,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
鲁崇明,深圳量子基金管理有限公司-量子2号私募证券投资基金,1
深圳量子基金管理有限公司-量子2号私募证券投资基金,李连宝,1
朱明虬,昌吉州首创投资有限合伙企业,1
朱明虬,中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,1
朱明虬,上海鹿捷企业管理咨询合伙企业(有限合伙),1
朱明虬,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
昌吉州首创投资有限合伙企业,吴红心,1
昌吉州首创投资有限合伙企业,余欢,1
昌吉州首创投资有限合伙企业,马希骅,1
昌吉州首创投资有限合伙企业,张子钢,1
昌吉州首创投资有限合伙企业,徐建刚,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,吴红心,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,余欢,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,马希骅,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,张子钢,1
中信信托有限责任公司-中信信托成泉汇涌八期金融投资集合资金信托计划,徐建刚,1
吴红心,上海鹿捷企业管理咨询合伙企业(有限合伙),1
吴红心,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
余欢,上海鹿捷企业管理咨询合伙企业(有限合伙),1
余欢,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
马希骅,上海鹿捷企业管理咨询合伙企业(有限合伙),1
马希骅,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
上海鹿捷企业管理咨询合伙企业(有限合伙),张子钢,1
上海鹿捷企业管理咨询合伙企业(有限合伙),徐建刚,1
张子钢,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
徐建刚,厦门国际信托有限公司-证德一号证券投资集合资金信托计划,1
杭州老板实业集团有限公司,赖翼双,1
杭州老板实业集团有限公司,仇菲,1
杭州老板实业集团有限公司,潘根富,1
杭州老板实业集团有限公司,李胜男,1
杭州老板实业集团有限公司,仇建平,1
杭州老板实业集团有限公司,周绿云,1
杭州老板实业集团有限公司,孙瑞清,1
杭州老板实业集团有限公司,叶青,1
杭州老板实业集团有限公司,金顺清,1
赖翼双,宁波银洋创业投资合伙企业(有限合伙),1
仇菲,宁波银洋创业投资合伙企业(有限合伙),1
潘根富,宁波银洋创业投资合伙企业(有限合伙),1
李胜男,宁波银洋创业投资合伙企业(有限合伙),1
仇建平,宁波银洋创业投资合伙企业(有限合伙),1
宁波银洋创业投资合伙企业(有限合伙),周绿云,1
宁波银洋创业投资合伙企业(有限合伙),孙瑞清,1
宁波银洋创业投资合伙企业(有限合伙),叶青,1
宁波银洋创业投资合伙企业(有限合伙),金顺清,1
苏州彭博创业投资企业(有限合伙),韩春雷,1
苏州彭博创业投资企业(有限合伙),王翔宇,1
苏州彭博创业投资企业(有限合伙),朱晓静,1
常州市中科江南股权投资中心(有限合伙),韩春雷,1
常州市中科江南股权投资中心(有限合伙),王翔宇,1
常州市中科江南股权投资中心(有限合伙),朱晓静,1
盐城市中科盐发创业投资企业(有限合伙),韩春雷,1
盐城市中科盐发创业投资企业(有限合伙),王翔宇,1
盐城市中科盐发创业投资企业(有限合伙),朱晓静,1
宜兴中科金源创业投资企业(有限合伙),韩春雷,1
宜兴中科金源创业投资企业(有限合伙),王翔宇,1
宜兴中科金源创业投资企业(有限合伙),朱晓静,1
常熟市中科虞山创业投资企业(有限合伙),韩春雷,1
常熟市中科虞山创业投资企业(有限合伙),王翔宇,1
常熟市中科虞山创业投资企业(有限合伙),朱晓静,1
张家港中科龙江创业投资企业(有限合伙),韩春雷,1
张家港中科龙江创业投资企业(有限合伙),王翔宇,1
张家港中科龙江创业投资企业(有限合伙),朱晓静,1
昆山创伟投资管理企业(有限合伙),韩春雷,1
昆山创伟投资管理企业(有限合伙),王翔宇,1
昆山创伟投资管理企业(有限合伙),朱晓静,1
深圳市皇庭投资管理有限公司,霍孝谦,1
深圳市皇庭投资管理有限公司,陈巧玲,1
深圳市皇庭产业控股有限公司,霍孝谦,1
深圳市皇庭产业控股有限公司,陈巧玲,1
苏州和瑞九鼎投资中心(有限合伙),霍孝谦,1
苏州和瑞九鼎投资中心(有限合伙),陈巧玲,1
霍孝谦,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1
陈巧玲,中铁宝盈资产-浦发银行-中铁宝盈-宝鑫77号特定客户资产管理计划,1
刘晓东,上海旌德投资合伙企业(有限合伙),1
刘晓东,上海民勤投资合伙企业(有限合伙),1
柳海彬,上海旌德投资合伙企业(有限合伙),1
柳海彬,上海民勤投资合伙企业(有限合伙),1
刘晓俊,上海旌德投资合伙企业(有限合伙),1
刘晓俊,上海民勤投资合伙企业(有限合伙),1
喻晓春,上海旌德投资合伙企业(有限合伙),1
喻晓春,上海民勤投资合伙企业(有限合伙),1
上海旌德投资合伙企业(有限合伙),杨洪,1
上海旌德投资合伙企业(有限合伙),寇光智,1
上海旌德投资合伙企业(有限合伙),马晓华,1
杨洪,上海民勤投资合伙企业(有限合伙),1
寇光智,上海民勤投资合伙企业(有限合伙),1
上海民勤投资合伙企业(有限合伙),马晓华,1
深圳市中洲创业投资有限公司,吴东明,1
亚晟发展集团有限公司,吴东明,1
深圳市军屯投资企业(有限合伙),吴东明,1
斯隆新产品投资有限公司,吴东明,1
鹏华基金-兴业银行-鹏华基金-鹏银1号特定多客户资产管理计划,吴东明,1
珠海投资控股有限公司,金春玲,1
泰达宏利基金-工商银行-中航信托-天顺(2016)70号泰达宏利基金投资单一资金信托,金春玲,1
广州市玄元投资管理有限公司-玄元投资元宝1号私募投资基金,金春玲,1
建信基金-工商银行-华润深国投信托-华润信托·增利10号集合资金信托计划,金春玲,1
铜陵发展投资集团有限公司,金春玲,1
广州金融控股集团有限公司,金春玲,1
杭州滨创股权投资有限公司,金春玲,1
西安飞机工业(集团)有限责任公司,金春玲,1
深圳市远望谷信息技术股份有限公司,李治平,1
李治平,昆仑健康保险股份有限公司-万能保险产品稳健型,1
上海鹏欣(集团)有限公司,张华伟,1
上海鹏欣(集团)有限公司,谈意道,1
上海鹏欣(集团)有限公司,安洪刚,1
上海鹏欣(集团)有限公司,孙庚更,1
上海鹏欣(集团)有限公司,侯钦源,1
上海鹏欣(集团)有限公司,成建铃,1
张华伟,上海鹏欣农业投资(集团)有限公司,1
张华伟,上海国之杰投资发展有限公司,1
张华伟,上海安企管理软件有限公司,1
谈意道,上海鹏欣农业投资(集团)有限公司,1
谈意道,上海国之杰投资发展有限公司,1
谈意道,上海安企管理软件有限公司,1
上海鹏欣农业投资(集团)有限公司,安洪刚,1
上海鹏欣农业投资(集团)有限公司,孙庚更,1
上海鹏欣农业投资(集团)有限公司,侯钦源,1
上海鹏欣农业投资(集团)有限公司,成建铃,1
安洪刚,上海国之杰投资发展有限公司,1
安洪刚,上海安企管理软件有限公司,1
孙庚更,上海国之杰投资发展有限公司,1
孙庚更,上海安企管理软件有限公司,1
侯钦源,上海国之杰投资发展有限公司,1
侯钦源,上海安企管理软件有限公司,1
上海国之杰投资发展有限公司,成建铃,1
上海安企管理软件有限公司,成建铃,1
西安东盛集团有限公司,郑文平,1
西安东盛集团有限公司,蒋仕波,1
财富证券-浦发银行-财富证券-广誉远安宫清心集合资产管理计划,郑文平,1
财富证券-浦发银行-财富证券-广誉远安宫清心集合资产管理计划,蒋仕波,1
华能贵诚信托有限公司-华能信托·悦晟3号单一资金信托,郑文平,1
