Source,Target,Weight
中国人民人寿保险股份有限公司-传统-普通保险产品,韩旭,1
韩旭,中国人寿保险股份有限公司-分红-个人分红-005L-FH002深,1
韩旭,中国平安人寿保险股份有限公司-分红-个险分红,1
中国证券金融股份有限公司,俞聪,1
中国证券金融股份有限公司,孙芳芳,1
中国证券金融股份有限公司,姚婧,1
中央汇金资产管理有限责任公司,俞聪,1
中央汇金资产管理有限责任公司,孙芳芳,1
中央汇金资产管理有限责任公司,姚婧,1
钱高法,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1
钱高法,中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1
钱高法,全国社保基金五零二组合,1
钱国耀,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1
钱国耀,中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1
钱国耀,全国社保基金五零二组合,1
钱国年,中国银行股份有限公司-景顺长城优选混合型证券投资基金,1
钱国年,中国农业银行股份有限公司-景顺长城资源垄断混合型证券投资基金(LOF),1
钱国年,全国社保基金五零二组合,1
谢炳銮,中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,1
谢炳銮,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,1
李惠强,中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,1
李惠强,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,1
陈俊岭,中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,1
陈俊岭,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,1
中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,刘艳辉,1
中国建设银行股份有限公司-融通新能源灵活配置混合型证券投资基金,申金冬,1
刘艳辉,中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,1
中国建设银行股份有限公司-华夏优势增长混合型证券投资基金,申金冬,1
中央汇金资产管理有限责任公司,王建祥,1
葛卫东,中国建设银行股份有限公司-农银汇理医疗保健主题股票型证券投资基金,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,谭建荣,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,刘赛花,1
中国工商银行股份有限公司-南方大数据100指数证券投资基金,王文隽,1
谭建荣,中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,1
谭建荣,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),1
中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,刘赛花,1
中国工商银行股份有限公司-华商新锐产业灵活配置混合型证券投资基金,王文隽,1
刘赛花,中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),1
中国银行股份有限公司-华宝标普中国A股红利机会指数证券投资基金(LOF),王文隽,1
霍孝谦,全国社保基金一零四组合,1
陈巧玲,全国社保基金一零四组合,1
刘晓东,全国社保基金一零二组合,1
柳海彬,全国社保基金一零二组合,1
刘晓俊,全国社保基金一零二组合,1
全国社保基金一零二组合,喻晓春,1
全国社保基金一零二组合,杨洪,1
全国社保基金一零二组合,寇光智,1
全国社保基金一零二组合,马晓华,1
中国工商银行股份有限公司-南方新优享灵活配置混合型证券投资基金,吴东明,1
中国工商银行股份有限公司-诺安成长混合型证券投资基金,吴东明,1
中国工商银行股份有限公司-鹏华消费优选混合型证券投资基金,吴东明,1
吴东明,中国工商银行股份有限公司-南方创新经济灵活配置混合型证券投资基金,1
中国证券金融股份有限公司,金春玲,1
李治平,中国农业银行股份有限公司-宝盈科技30灵活配置混合型证券投资基金,1
李治平,中国银行股份有限公司-大成中小盘混合型证券投资基金(LOF),1
李治平,中国工商银行股份有限公司-南方优选价值股票型证券投资基金,1
李治平,中国工商银行股份有限公司-华安逆向策略混合型证券投资基金,1
李治平,中国工商银行-南方隆元产业主题股票型证券投资基金,1
李治平,中国工商银行股份有限公司-农银汇理信息传媒主题股票型证券投资基金,1
李治平,中国建设银行股份有限公司-华安国企改革主题灵活配置混合型证券投资基金,1
全国社保基金一零四组合,郑文平,1
全国社保基金一零四组合,蒋仕波,1
郑文平,全国社保基金五零三组合,1
蒋仕波,全国社保基金五零三组合,1
张磊,中国证券金融股份有限公司,1
郭柏峰,中国证券金融股份有限公司,1
李晓楠,中国证券金融股份有限公司,1
全国社保基金一一四组合,刘普杰,1
全国社保基金一一四组合,竺韵德,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,刘普杰,1
中国农业银行股份有限公司-中证500交易型开放式指数证券投资基金,竺韵德,1
刘普杰,中国节能减排有限公司,1
竺韵德,中国节能减排有限公司,1
夏琼,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,1
李心,中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,夏信根,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,李磊,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,阎宝国,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,樊琳,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,刘志学,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,陈爽,1
中国建设银行股份有限公司-富国中证军工指数分级证券投资基金,陆贵新,1
卢妙翠,中国连云港外轮代理有限公司,1
中国连云港外轮代理有限公司,唐建柏,1
中国连云港外轮代理有限公司,杨雪梅,1
中国连云港外轮代理有限公司,张寿清,1
中国连云港外轮代理有限公司,胡云辉,1
中国连云港外轮代理有限公司,胡海燕,1
中国连云港外轮代理有限公司,杨继耘,1
阮水龙,全国社保基金一一三组合,1
阮水龙,中央汇金资产管理有限责任公司,1
阮水龙,香港中央结算有限公司,1
阮伟祥,全国社保基金一一三组合,1
阮伟祥,中央汇金资产管理有限责任公司,1
阮伟祥,香港中央结算有限公司,1
项志峰,全国社保基金一一三组合,1
项志峰,中央汇金资产管理有限责任公司,1
项志峰,香港中央结算有限公司,1
全国社保基金一一三组合,潘小成,1
全国社保基金一一三组合,阮兴祥,1
全国社保基金一一三组合,阮伟兴,1
中央汇金资产管理有限责任公司,潘小成,1
中央汇金资产管理有限责任公司,阮兴祥,1
